tmp,ewg_id,name,state,population_served
,561,Fort Rucker,"Daleville, Alabama",Firefighting foam
,562,Fort Greely,"Fort Greely, Alaska",Firefighting foam
,563,Popago Military Reservation,"Phoenix, Arizona",Firefighting foam
,564,Pine Bluff Arsenal,"White Hall, Arkansas",Firefighting foam
,565,Fort Irwin,"Fort Irwin, California",Firefighting foam
,566,Military Ocean Terminal Concord,"Concord, California",Firefighting foam
,567,MIRAMAR CA MCAS,"Miramar, California",Firefighting foam
,568,Windsor Locks AASF,"Windsor Locks, Connecticut",Firefighting foam
,569,Duncan Armory AASF,"New Casle, Delaware",Firefighting foam
,570,Camp Merrill,"Dahlonega, Georgia",Firefighting foam
,571,Fort Benning,"Fort Moore, Georgia",Firefighting foam
,572,Fort Gordon - Gillem Annex,"Augusta, Georgia",Firefighting foam
,573,Fort Stewart,"Fort Stewart, Georgia",Firefighting foam
,574,Fort Stewart - Hunter AAF,"Fort Stewart, Georgia",Firefighting foam
,575,KINGS BAY GA NSB,"St. Marys, Georgia",Firefighting foam
,576,Camp Atterbury/Range 36 ATG,"Columbus, Indiana",Firefighting foam
,577,Forbes Field,"Topeka, Kansas",Firefighting foam
,578,Topeka Forbes Field AASF #1,"Topeka, Kansas",Firefighting foam
,579,Blue Grass Army Depot,"Richmond, Kentucky",Firefighting foam
,580,Fort Campbell,"Fort Campbell, Kentucky",Firefighting foam
,581,Fort Knox,"Fort Knox, Kentucky",Firefighting foam
,582,Fort Polk,"Fort Polk, Louisiana",Firefighting foam
,583,Fort Meade - Phoenix Military Reservation,"Jacksonville, Maryland",Firefighting foam
,584,Detroit Arsenal,"Detroit, Michigan",Firefighting foam
,585,Lansing Airport Hangar,"Lansing, Michigan",Firefighting foam
,586,MTC-H Camp Grayling-Cantonment,"Grayling, Michigan",Firefighting foam
,587,MTC-H Camp Grayling-MATES,"Grayling, Michigan",Firefighting foam
,588,Fort William Henry Harrison /JFHQ MT,"Helena, Montana",Firefighting foam
,589,Helena Aviation Readiness Center - AASF,"Helena, Montana",Firefighting foam
,590,Cold Regions Research and Engineering Laboratory,"Hanover, New Hampshire",Firefighting foam
,591,AASF Main Hangar-cold storage,"Lakehurst, New Jersey",Firefighting foam
,592,Fort Bragg - Camp Mackall,"Hoffman, North Carolina",Firefighting foam
,593,Salisbury AASF #2,"Salisbury , North Carolina",Firefighting foam
,594,Fort Sill,"Fort Sill, Oklahoma",Firefighting foam
,595,McAlester Army Ammunition Plant,"McAlester, Oklahoma",Firefighting foam
,596,MECHANICSBURG PA NAVICP,"Mechanicsburg, Pennsylvania",Firefighting foam
,597,Philadelphia NS,"Philadelphia, Pennsylvania",Firefighting foam
,598,Scranton Army Ammunition Plant,"Scranton, Pennsylvania",Firefighting foam
,599,Fort Buchanan,"Guaynabo, Puerto Rico",Firefighting foam
,600,Fort Jackson,"Columbia, South Carolina",Firefighting foam
,601,Fort Hood,"Fort Hood, Texas",Firefighting foam
,602,Red River Army Depot,"New Boston, Texas",Firefighting foam
,603,Dugway Proving Ground,"Dugway, Utah",Firefighting foam
,604,Tooele Army Depot,"Tooele, Utah",Firefighting foam
,605,Tooele Army Depot South (Deseret Chemical Depot),"West Mercur, Utah",Firefighting foam
,606,Fort AP Hill,"Fort AP Hill, Virginia",Firefighting foam
,607,Fort Belvoir,"Fort Belvoir, Virginia",Firefighting foam
,608,Fort Lee,"Fort Gregg-Adams, Virginia",Firefighting foam
,609,JB Myer Henderson Hall,"Mort Myer, Virginia",Firefighting foam
,610,Radford Army Ammunition Plant,"Blacksburg, Virginia",Firefighting foam
,611,West Bend AASF #1 / Armory,"West Bend, Wisconsin",Firefighting foam
,612,Kalaoloa Facility (Former Barbers Point-NAS),"Barbers Point, Wisconsin",Firefighting foam
,613,"NAVFAC HAWAII P HARBOR","Pearl Harbor, Hawaii",Firefighting foam
,614,NMC EAD DET PEARL HARBOR,"Pearl Harbor, Hawaii",Firefighting foam
,615,PEARL HARBOR HI FISC,"Pearl Harbor, Hawaii",Firefighting foam
,616,PEARL HARBOR HI NSY,"Pearl Harbor, Hawaii",Firefighting foam
,617,KANEOHE BAY HI MCB,"Pearl Harbor, Hawaii",Firefighting foam
