"CWPName","SourceID","CWPStreet","CWPCity","CWPState","RegistryID","SupOver80CountUsDisp","CWPBioInspCount","BioVioLastYearFlag","BioQtrsWithVio","CWPBioFeaCount"
"EAST ALABAMA WATER, SEWER, AND FIRE PROTECTION DISTRICT","ALL024724","POST OFFICE BOX 37","VALLEY","AL","110010581986","4",0,"N",0,0
"EAST BANGOR MUNI AUTH","PA0053911","555 W CENTRAL AVE","EAST BANGOR","PA","110000951042","1",0,"Y",3,0
"EAST BANK WWTP","TX0076953","417 FMR 2788","CENTER","TX","110001880331","1",0,"N",0,0
"EAST BASTROP WWTF","TX0032671","300 WATER STREET","BASTROP","TX","110002040247","0",0,"N",0,0
"EAST BAY MUD WWTP","CAL037702","P.O. BOX 24050","OAKLAND","CA","110069999593",,0,"N",0,0
"EAST CAPE GIRARDEAU","IL0070319","APPROXIMATELY 1 MILE SE OF VILLAGE","EAST CAPE GIRARDEAU","IL","110009736857","1",0,"N",0,0
"EAST CEDAR CREEK FWSD NORTH WWTP","TX0074861","156 HAMMER RD","HENDERSON COUNTY","TX","110009003700","1",0,"N",0,0
"EAST CENTRAL HIGH SCHOOL WWTP","TX0074799","7173 FMR 1628","SAN ANTONIO","TX","110011419410","1",0,"N",0,0
"EAST CENTRAL REGIONAL WWTP","FL0041360","100 BAYAN BL HAVERHILL ROADP.O","WEST PALM BEACH","FL","110006659197","0",0,"N",0,0
"EAST CENTRAL REGIONAL WWTP","FLL041360","4325 HAVERHILL RD N","WEST PALM BEACH","FL","110006659197","0",0,"N",0,0
"EAST CHICAGO SANITARY DISTRICT","IN0022829","5201 INDIANAPOLIS BLVD","EAST CHICAGO","IN","110006645531","12",0,"N",0,0
"EAST CHICAGO SANITARY DISTRICT WWTP","INL022829","5201 INDIANAPOLIS BLVD","EAST CHICAGO","IN","110003116306","12",0,"N",0,0
"EAST DISTRICT WWTP","TX0020117","3030 FERRY RD","BAYTOWN","TX","110047387436","4",0,"N",0,0
"EAST DUBUQUE STP, CITY OF","IL0025186","BOAT RAMP ROAD","EAST DUBUQUE","IL","110009735260","0",0,"N",0,0
"EAST DUNDEE WWTP, VILLAGE OF","ILL028541","401 ELGIN AVENUE","EAST DUNDEE","IL","110001123766","0",0,"N",0,0
"EAST DUNDEE WWTP, VILLAGE OF","IL0028541","401 ELGIN AVENUE","EAST DUNDEE","IL","110001123766","0",0,"N",0,0
"EAST GRAND FORKS","MNL021814","SEC 22 T152N R50W","EAST GRAND FORKS","MN","110070000535",,0,"N",0,0
"EAST GREENBUSH (T)","NYL026034","225 COLUMBIA TURNPIKE","EAST GREENBUSH","NY","110000762372","8",0,"N",0,0
"EAST HADDAM WPCF","CT0101761","17 LUMBERYARD ROAD","EAST HADDAM","CT","110009068249","0",0,"N",0,0
"EAST HAMPTON WPCA","CTL024694","20 GILDERSLEEVE DRIVE","EAST HAMPTON","CT","110030384377","1",0,"N",0,0
"EAST HAMPTON WPCA","CT0024694","20 GILDERSLEEVE DRIVE","EAST HAMPTON","CT","110030384377","1",0,"N",0,0
"EAST HARTFORD WPCF (MDC)","CTL100170","65 PITKIN STREET","EAST HARTFORD","CT","110000523504","8",0,"N",0,0
"EAST HARTFORD WPCF_(MDC)","CT0100170","65 PITKIN STREET","EAST HARTFORD","CT","110000523504","8",0,"N",0,0
"EAST HELENA, CITY OF","MTG650056","306 EAST MAIN, P.O. BOX 1170","EAST HELENA","MT","110035856204","3",0,"N",0,0
"EAST HONOLULU WWTP","HIL020203","8480 KALANIANAOLE HWY","HONOLULU","HI","110000520400","0",0,"N",0,0
"EAST LANSING WRRF","MI0022853","1700 TROWBRIDGE RD.","EAST LANSING","MI","110000733341","0",0,"N",0,0
"EAST LIVERPOOL WWTP","OH0024970","500 W 4TH ST EXT","EAST LIVERPOOL","OH","110000735349","4",0,"N",0,0
"EAST MERIDIAN POTW","MSL055735","3900 OLD HWY 45 NORTH","MERIDIAN","MS","110008515703","4",0,"N",0,0
"EAST MILTON WATER RECLAMATION FACILITY","FLL753335","EAST MILTON RD","MILTON","FL","110070003280",,0,"N",0,0
"EAST MOLINE REGIONAL WWTP","IL0028550","101 19TH STREET","EAST MOLINE","IL","110018325515","9",0,"N",0,0
"EAST MOLINE, CITY OF","ILL028550","915 16TH AVE","EAST MOLINE","IL","110018131047","10",0,"N",0,0
"EAST MONTGOMERY COUNTY MUD NO 12 WWTP","TX0138860","APPROX 1700FT NE OF KROPIK RD & STATE HIGHWAY 242","SPLENDORA","TX","110070390315","3",0,"N",0,0
"EAST MONTGOMERY COUNTY MUD NO 5 WWTP","TX0133906","598 ROMAN FOREST BLVD","NEW CANEY","TX","110055006755","3",0,"N",0,0
"EAST MOUNT HOUSTON MHP WWTP","TX0094935","6341 E MOUNT HOUSTON RD","HOUSTON","TX","110006683678","9",0,"N",0,0
"EAST NORRITON/PLYMOUTH/WHITPAI","PAL026816","JOINT SEWER AUTHORITY","NORRISTOWN","PA","110001064721","13",0,"N",0,0
"EAST PALESTINE WWTP","OH0021784","220 PARK DR","EAST PALESTINE","OH","110002320961","1",0,"N",0,0
"EAST PENNSBORO SOUTH TREATMENT","PAL038415","BOARD OF COMMISSIONERS","CUMBERLAND COUNTY","PA","110010993817",,0,"N",0,0
"EAST PEORIA #3 STP","IL0046213","3601 NORTH MAIN STREET","EAST PEORIA","IL","110000736623","11",0,"N",0,0
"EAST PEORIA #3 STP, CITY OF","ILL046213","3601 NORTH MAIN STREET","EAST PEORIA","IL","110000736623","11",0,"N",0,0
"EAST PEORIA STP #1","IL0028576","701 CASS STREET","EAST PEORIA","IL","110000545802","11",0,"N",0,0
"EAST PEORIA STP #1, CITY OF","ILL028576","CORNER OF CASS & SPENCER ST","EAST PEORIA","IL","110000545802","11",1,"N",0,0
"EAST PROVIDENCE WPCF","RI0100048","1 CREST AVENUE","RIVERSIDE","RI","110000735722","6",1,"N",0,0
"EAST QUINCY HOLDINGS LLC","COL631003","PO BOX 87","CASTLE ROCK","CO","110070002158",,0,"N",0,0
"EAST RICH CO PSD GILLS CREEK","SC0038865","1050 WHITEHOUSE RD","COLUMBIA","SC","110016994369","11",0,"N",0,0
"EAST RICH CO PSD/GILLS CREEK","SCL038865","1050 WHITE HOUSE RD","COLUMBIA","SC","110016994369","11",0,"N",0,0
"EAST RIVER REGIONAL SANITATION DISTRICT","COL588079","350 COUNTRY CLUB DR  STE 112A","CRESTED BUTTE","CO","110069999587","0",0,"N",0,0
"EAST SIDE WWTP","NC0024210","5898 RIVERDALE RD","JAMESTOWN","NC","110009717011","2",0,"N",0,0
"EAST STROUDSBURG BORO STP","PAL020168","""PO BOX 303","EAST STROUDSBURG","PA","110000720596","1",0,"N",0,0
"EAST TAWAKONI WWTF","TX0101303","1MI E  INTX ST HWY 276 & FM 513 ","EAST TAWAKONI","TX","110009774921","0",0,"N",0,0
"EAST TENNESSEE TECHNOLOGY PARK (ETTP) - USDOE","TNL002950","P.O. BOX 2001","OAK RIDGE","TN","110002471094","0",0,"N",0,0
"EAST TEXAS MUD OF SMITH COUNTY WWTP","TX0032484","13202 ST HWY 155 NORTH","TYLER","TX","110002043039","0",0,"N",0,0
"EAST WALKER WWTP","AL0055409","SINGLETON ROAD","DORA","AL","110010072802","6",0,"N",0,0
"EAST WINDSOR WATER POL CON PLT","NJL023787","MILLSTONE RD","EAST WINDSOR","NJ","110027990486","1",0,"N",0,0
"EAST WINDSOR WPCF","CT0100196","192 SOUTH WATER STREET","EAST WINDSOR","CT","110030348808","0",0,"N",0,0
"EAST WINDSOR WPCF","CTL100196","192 SOUTH WATER STREET","EAST WINDSOR","CT","110030348808","0",1,"N",0,0
"EAST YARD, WEST YARD & NORTH YARD","LAJ660069","583 THOMPSON RD.","HOUMA","LA","110012382803","0",0,"N",0,0
"EASTERN ADAMS CO METRO DIST","COL582050","3155 PIGGOTT MILE ROAD","STRASBURG","CO","110056004363","0",0,"N",0,0
"EASTERN ADAMS COUNTY METRO DISTRICT","COL589035","100 ST PAUL ST STE 300","DENVER","CO","110069999672","5",0,"N",0,0
"EASTERN BAND CHEROKEE INDIANS - QUALLA BOUNDARY","NCL052469","P O BOX 455","CHEROKEE","NC","110010826641","I",0,"N",0,0
"EASTERN COMPOST, LLC","NCL900001","8487 BATTLEBORO-LEGGETT ROAD","BATTLEBORO","NC","110071443799","0",0,"N",0,0
"EASTERN MUNICIPAL WATER DISTRICT","CAL000188","P.O. BOX 8300","PERRIS","CA","110069999541",,0,"N",0,0
"EASTERN OHIO REGIONAL WW AUTHORITY","OH0049999","6000 N GUERNSEY ST","BELLAIRE","OH","110000762050","0",1,"N",0,0
"EASTERN REGIONAL STP","KYL105031","1045 EATON DR","FORT WRIGHT","KY","110013680837","0",0,"N",0,0
"EASTERN REGIONAL WATER RECLAMATION FACILITY","OH0026590","1802 SPAULDING RD","KETTERING","OH","110000915001","0",1,"N",0,0
"EASTERN SNYDER COUNTY REGIONAL","PAL110582","P.O. BOX 330","PENN, TOWNSHIP OF","PA","110012297576",,0,"N",0,0
"EASTHAMPTON W W T P","MAL101478","10 GOSSELIN DRIVE","EASTHAMPTON","MA","110000732716","0",0,"N",0,0
"EASTHAMPTON W W T P","MA0101478","10 GOSSELIN DRIVE","EASTHAMPTON","MA","110000732716","0",0,"N",0,0
"EASTHAVEN WWTP","TX0034886","8545 SCRANTON ST E. WILLIAM","HOUSTON","TX","110010923304","10",0,"N",0,0
"EASTLAKE WWTP","AL0020150","3100 LAKE GUNTERSVILLE PARKWAY","GUNTERSVILLE","AL","110000525307","5",0,"N",0,0
"EASTLAND COUNTY WSD WTP","TX0113883","726 HWY 2461 ","EASTLAND COUNTY","TX","110009772889","4",0,"N",0,0
"EASTON WASTEWATER TREATMENT PT","MDL020273","NORTH DOVER ROAD","EASTON","MD","110012533400","0",0,"N",0,0
"EASTSIDE WWTP","NC0023868","225 STONE QUARRY RD","BURLINGTON","NC","110064598699","10",0,"N",0,0
"EASTVIEW WWTP","OH0039217","1740 FLEMING FALLS RD","MANSFIELD","OH","110006216442","0",2,"N",0,0
"EASTWOOD HILLS SUBDIVISION WWTP","TX0132730","11315 HILLRIDGE DR","CONROE","TX","110034513523","0",0,"N",0,0
"EASTWOOD MOBILE HOME VILLAGE WWTP","AL0056685","1961 ALTON ROAD","IRONDALE","AL","110006787478","0",0,"N",0,0
"EATON RAPIDS WWTP","MI0022861","301 MARKET ST.","EATON RAPIDS","MI","110009900697","0",0,"N",0,0
"EATON WWTP","CO0047414","800 E  COLLINS ST ","WELD COUNTY","CO","110006658107","0",1,"N",0,0
"EATON WWTP","OH0020907","901 S BARRON ST","EATON","OH","110006280354","0",0,"N",0,0
"EATON, TOWN OF","COG650135","800 EAST COLLINS STREET","EATON","CO","110006658107","0",0,"N",0,0
"EAU CLAIRE WASTEWATER TREATMENT FACILITY","WI0023850","1000 FERRY ST., EAU CLAIRE, WI","EAU CLAIRE","WI","110002049239","1",0,"N",0,0
"EAU CLAIRE WWSL","MI0058687","BETWEEN 6890 OLD PIPESTONE ROAD AND 6860 HOCHBERGE","EAU CLAIRE","MI","110062643340","0",0,"N",0,0
"EBENSBURG WWTP","PAL022292","291 TROUT LANESTREET","EBENSBURG","PA","110000949895","0",0,"N",0,0
"ECKMAYER SEWER SERVICE","WI0064513","N8458 COUNTY HWY O","WATERLOO","WI","110070016461",,0,"N",0,0
"ECLECTIC LAGOON AND SPRAYFIELD","AL0067903","700 NORTH COLLEGE AVENUE","ECLECTIC","AL","110055974815","2",0,"N",0,0
"ECLECTIC LAGOON AND SPRAYFIELD","ALL067903","700 SOUTH COLLEGE STREET","ECLECTIC","AL","110055974815","2",0,"N",0,0
"ECO RESOURCES, INC.","COG650134","6050 W. 54TH AVENUE","ARVADA","CO","110022856426","13",0,"N",0,0
"ECONCHATE WWTP","ALL022225","PO BOX 1631","MONTGOMERY","AL","110055975592","4",0,"N",0,0
"ECONCHATE WWTP","AL0022225","2501 JACKSON FERRY ROAD","MONTGOMERY","AL","110055975592","4",0,"N",0,0
"ECONOMY BOR. MUN. AUTH.","PAL218413","120 WINE ROAD","SEWICKLEY","PA","110016620370","0",0,"N",0,0
"ECUA - CENTRAL WATER RECLAMATION FACILITY","FL0559351","2980 OLD CHEMSTRAND ROAD","CANTONMENT","FL","110035526428","0",0,"N",0,1
"ECW&SA/BROOKS STREET WWTP","SCL025330","577 BROOKS ST","EDGEFIELD","SC","110009794080","2",0,"N",0,0
"ECW&SA/JOHNSTON #1 WWTP","SCL025691","SERTOMA DR","JOHNSTON","SC","110017197451","6",0,"N",0,0
"ED-LOU WWTP","TX0091171","15110 GRANT RD","HOUSTON","TX","110006683641","0",0,"N",0,0
"EDCOUCH WWTF","TX0057614","0.5MI NE INTX ST HWY 107 AND FMR 1015","EDCOUCH","TX","110037519174","7",0,"N",0,0
"EDDLEMON'S TRAILER PARK#1","LAJ660285","12421 LAKE CHARLES HWY","LEESVILLE","LA","110012314227","1",0,"N",0,0
"EDEN VALLEY INSTITUTE WWTP","CO0048985","6375 CREEK DR","LOVELAND","CO","110064505325","0",1,"N",0,0
"EDGEMONT RANCH METRO DIST","COL040266","5972 CR  234","DURANGO","CO","110069999469","0",0,"N",0,0
"EDGEMONT RANCH METRO DISTRICT WWTF","COG591176","5972 CR 234","LA PLATA COUNTY","CO","110069999469","0",0,"N",0,0
"EDGEMONT RANCH METRO DISTRICT WWTF","CO0040266","5972 CR 234","LA PLATA COUNTY","CO","110037229969","0",1,"N",0,0
"EDGERTON BIG BULL CREEK","KSL100374","PO BOX 255","EDGERTON","KS","KSL100374",,0,"N",0,0
"EDGEWATER BORO","NJL150134","916 RIVER RD","EDGEWATER","NJ","110014667645","0",0,"N",0,0
"EDGEWATER, CITY OF","FL0021431","500 W OCEAN AVE","EDGEWATER","FL","110027971595","0",0,"N",0,0
"EDGEWATER, CITY OF","FLL021431","PO BOX 100","EDGEWATER","FL","110027971595","0",0,"N",0,0
"EDINBORO BORO","PAL021792","124 MEADVILLE STREET","EDINBORO","PA","110001034158","1",0,"N",0,0
"EDINBURG WASTEWATER TREATMENT PLANT","IL0025372","WEST VINE STREET","EDINBURG","IL","110009988647","0",0,"N",0,0
"EDINBURGH WWTP","IN0020184","701 W RIVER RD","EDINBURGH","IN","110039913396","0",0,"N",0,0
"EDINBURGH WWTP","INL020184","PO BOX 65","EDINBURGH","IN","110070000416",,0,"N",0,0
"EDMOND, CITY OF - COFFEE CREEK","OK0026026","P.O. BOX 2970","EDMOND","OK","110006617982","0",2,"N",0,0
"EDMONDS STP","WAL024058","200 2ND AVE S","EDMONDS","WA","110000563220","0",1,"N",0,0
"EDWARD C. LITTLE WATER RECYCLING FACILITY (LWRF)","CAL063401","1935 HUGHES WAY","CARSON","CA","110025346141","0",0,"N",0,0
"EDWARDS AFB WTF","CAL010526","12 LABORATORY ROAD","EDWARDS AFB","CA","110069996493","0",0,"N",0,0
"EDWARDS WWTF","CO0037311","3101 LAKE CREEK VILLAGE DR","EAGLE COUNTY","CO","110001123409","1",1,"N",0,0
"EDWARDS WWTP","COG650042","3101 LAKE CREEK VILLAGE DR.","EDWARDS","CO","110001123409","1",0,"N",0,0
"EDWARDSVILLE STP, CITY OF","IL0026310","3900 WANDA ROAD","EDWARDSVILLE","IL","110000566334","1",0,"N",0,0
"EDWARDSVILLE STP, CITY OF","ILL026310","3900 WANDA ROAD","EDWARDSVILLE","IL","110000566334","1",0,"N",0,0
"EFFINGHAM STP","IL0028622","903 EAST EICHE AVENUE","EFFINGHAM","IL","110000720275","1",0,"N",0,0
"EFFINGHAM STP, CITY OF","ILL028622","INTERSECTION OF EICHE AVENUE","EFFINGHAM","IL","110000720275","1",0,"N",0,0
"EGLIN AFB - MAIN BASE WWTP","FLL010189","NOMAD WAY","EGLIN AFB","FL","110070003711",,0,"N",0,0
"EGLIN AFB PLEW WWTP","FLL010190","501 DELEON STREET","EGLIN AFB","FL","110070003273","0",0,"N",0,0
"EGYPTIAN COMM UNIT SCH DIST 5","IL0047104","RURAL ROUTE 1 BOX 384","TAMMS","IL","110018186407","0",0,"N",0,0
"EHRLICK, KEVIN R. & LORIE A.","COL020061","1561 SOUTH FOOTHILLS HIGHWAY","BOULDER","CO","110070002782",,0,"N",0,0
"EISENHOWER MIDDLE SCHOOL","IL0066729","3525 SPRING CREEK ROAD","ROCKFORD","IL","110006768355","5",0,"N",0,0
"EISENHOWER TUNNEL WWTF","CO0026069","E END OF TUNNEL ON I 70","SILVERTHORNE","CO","110010054145","0",1,"N",0,0
"EJ USA, INC-ARDMORE","OK0044288","270 REDWING ROAD","ARDMORE","OK","110012703681","I",1,"N",0,0
"EJ WATER CORPORATION - MONTROSE STP","IL0063096","NORTH FA ROUTE 160","MONTROSE","IL","110009984446","0",0,"N",0,0
"EKO COMPOST, INC.","MTG650017","1125 CLARK FORK LANE","MISSOULA","MT","110057201488","0",0,"N",0,0
"EKO COMPOST, INC.","MTL650017","P.O. BOX 16180","MISSOULA","MT","110070002605",,0,"N",0,0
"EL CENTRO WWTP","CAL104426","1275 MAIN STREET","EL CENTRO","CA","110054195955","11",1,"N",0,0
"EL DORADO DEER CREEK WWTP","CAL078662","2890 MOSQUITO ROAD","PLACERVILLE","CA","110002886057","4",0,"N",0,0
"EL DORADO HILLS WWTP","CAL078671","2890 MOSQUITO RD","PLACERVILLE","CA","110002886057","4",0,"N",0,0
"EL DORADO SPRINGS WWTF","MOL040002","W OF HWY EE","ELDORADO SPRING","MO","110070003275",,0,"N",0,0
"EL DORADO SPRINGS WWTP","MO0040002","1000 S 175 RD","EL DORADO SPRINGS","MO","110042653312","0",0,"N",0,0
"EL DORADO UTILITY DISTRICT WWTF","TX0025623","8243 GREENS RD","HOUSTON","TX","110009780996","11",0,"N",0,0
"EL DORADO WATER UTILITIES","ARL049743","P.O. BOX 1587","EL DORADO","AR","110070003370",,0,"N",0,0
"EL DORADO, CITY OF","KSL097667","105 W WETLANDS DR","EL DORADO","KS","110022850547","0",0,"N",0,0
"EL DORADO, CITY OF (WWTP)","KS0097667","105 W WETLANDS DR","EL DORADO","KS","110022850547","0",0,"N",0,0
"EL DORADO, CITY OF-NORTH WWTP","ARL033936","1119 VICTOR DUMAS DRIVE","EL DORADO","AR","110064617400","8",0,"N",0,0
"EL DORADO, CITY OF-SOUTH WWTP","ARL033723","325 QUAIL CROSSING","EL DORADO","AR","110064616857","3",0,"N",0,0
"EL MAR ESTATES SUBDIVISION","MTG650035","8862 MOURNING DRIVE","MISSOULA","MT","110020845371","0",0,"N",0,0
"EL PASO COUNTY WCID 4 WWTP","TX0065013","17270 ALAMEDA AVE","EL PASO COUNTY","TX","110006687175","6",0,"N",0,0
"EL PORTAL WWTF","CAL081759","P.O. BOX 700-W","EL PORTAL","CA","110070004186",,1,"N",0,0
"EL RENO MUNICIPAL AUTHORITY","OK0100382","101 N CHOCTAW AVE","EL RENO","OK","110064604637","2",5,"N",0,0
"EL ROCKO MHP","COG590029","2307 CR 154","GLENWOOD SPRINGS","CO","110006657803","0",0,"N",0,0
"EL ROCKO MOBILE HOME PARK","COL588029","2307 CR 154","GLENWOOD SPRINGS","CO","110070004010",,0,"N",0,0
"EL TORO WATER DIST WWRF","CAL010557","PO BOX 4000","LAGUNA HILLS","CA","110069995862","4",0,"N",0,0
"ELBA TWP-LAKE NEPESSING WWSL","MIG580063","NEWARK ROAD","LAPEER","MI","110009026419","0",0,"N",0,0
"ELBERT CO PIT","COG502165","25295 N ELBERT RD","ELBERT","CO","110070390052","0",0,"N",0,0
"ELBERT WATER SANITATION DISTRICT","COL589065","PO BOX 67","ELBERT","CO","110070000666",,0,"N",0,0
"ELBERTON, CITY OF (FALLING CREEK WPCP)","GA0025682","1158 JACK MCVEIGH DR","ELBERTON","GA","110010040945","3",0,"N",0,0
"ELBERTON, CITY OF (FORTSON CREEK WPCP)","GA0025631","1099 CAMPBELL ST","ELBERTON","GA","110006777924","7",0,"N",0,0
"ELBURN STP, VILLAGE OF","ILL062260","1N240 THRYSELIUS DRIVE","ELBURN","IL","110000880529","0",0,"N",0,0
"ELBURN WWTP, VILLAGE OF","IL0062260","1N240 THRYSELIUS DRIVE","ELBURN","IL","110000880529","0",0,"N",0,0
"ELDEN KUEHL POLLUTION CON FAC","IN0024660","1251 JOLIET RD","VALPARAISO","IN","110002354844","8",0,"N",0,0
"ELDON WWTP","MO0100676","913 N EASTVIEW DR","ELDON","MO","110000733877","1",0,"N",0,0
"ELDORA CITY OF STP","IA0025933","210 14TH AVENUE","ELDORA","IA","110005779327","0",0,"N",0,0
"ELDORADO SPRINGS WASTEWATER","COL047651","PO BOX 471","BOULDER","CO","110069999341",,0,"N",0,0
"ELDORADO SPRINGS WWTF","CO0047651","NO ADDRESS GIVEN","BOULDER COUNTY","CO","110033631997","0",1,"N",0,0
"ELDORADO STP, CITY OF","ILL028649","US ROUTE 45 WEST","ELDORADO","IL","110009988077","1",0,"N",0,0
"ELDORADO WWTP","OH0049492","300 S. MAIN STREET","ELDORADO","OH","110009822353","0",0,"N",0,0
"ELDRIDGE STATION HILLS WWTP","OH0078999","20127 CO RD 144","KENTON","OH","110008626683","0",0,"N",0,0
"ELGIN WWTP","TX0073946","720 CLEVELAND ST","ELGIN","TX","110064332315","0",0,"N",0,0
"ELIDA WWTP","OH0024996","4180 N DUTCH HOLLOW RD","ELIDA","OH","110006354015","0",1,"N",0,0
"ELIZA JORDAN WWTP","AL0081655","476 ELIZA JORDAN ROAD","MOBILE","AL","110058925515","1",0,"N",0,0
"ELIZABETH BOROUGH MUNICIPAL AU","PAL028436","1 LOCUST STREET","ELIZABETH","PA","110001063321","7",0,"N",0,0
"ELIZABETH CITY WWTP","NC0025011","NCSR 1387","ELIZABETH CITY","NC","110000548925","0",0,"N",0,0
"ELIZABETH CREEK WWTP","TX0124079","2500FT SW HWY 114 JOHN DAY RD","DENTON COUNTY","TX","110010919989","0",0,"N",0,0
"ELIZABETH STP, VILLAGE OF","IL0022373","259 WEST MAIN STREET","ELIZABETH","IL","110018174241","0",0,"N",0,0
"ELIZABETH TWP S.A.-BUENA VISTA","PAL024732","2420 GREENOCK BUENA VISTA ROAD","BUENA VISTA","PA","110039802498","0",0,"N",0,0
"ELIZABETH, TOWN OF","COG650148","303 WASHINGTON STREET","ELIZABETH","CO","110010055750","0",0,"N",0,0
"ELIZABETH, TOWN OF GOLD CREEK WWTF","COLX88063","P.O. BOX 159","ELIZABETH","CO","110069999607",,0,"N",0,0
"ELIZABETHTON STP","TNL023515","217 SYCAMORE SHOALS DRIVE","ELIZABETHTON","TN","110039849037","3",0,"N",0,0
"ELIZABETHTOWN VALLEY CREEK WWTP","KY0022039","2501 GAITHER STATION RD","ELIZABETHTOWN","KY","110000571373","0",0,"N",0,0
"ELIZABETHTOWN VALLEY CREEK WWTP","KYL022039","PO BOX 550","ELIZABETHTOWN","KY","110000571373","0",0,"N",0,0
"ELIZABETHTOWN WWTP","NC0026671","699 SCOUT LN","ELIZABETHTOWN","NC","110018816290","4",0,"N",0,0
"ELIZABETHTOWN, VILLAGE OF","IL0028690","1ST STREET","ELIZABETHTOWN","IL","110009988086","0",0,"N",0,0
"ELK CITY, CITY OF","OK0029084","20225 E 1140 RD","ELK CITY","OK","110006644934","I",4,"N",0,0
"ELK GROVE WWTP","MTG650058","195 ELK GROVE LANE","BOZEMAN","MT","110035856213","0",0,"N",0,0
"ELK GROVE WWTP","MTL650058","195 ELK GROVE LANE","BOZEMAN","MT","110035856213","0",0,"N",0,0
"ELK MEADOWS ESTATES HOA","COG650101","JERRY JOHNSON","RIDGWAY","CO","110017709336","0",0,"N",0,0
"ELK RAPIDS WRRF","MI0059296","8228 HERMAN ROAD","ELK RAPIDS","MI","110006743097","0",0,"N",0,0
"ELK RAPIDS WWTP","MIG570208","8228 HERMAN RD","ELK RAPIDS","MI","110006743097","0",0,"N",0,0
"ELK RIVER","MNL020788","248 RAILROAD DRIVE","ELK RIVER","MN","110000733573","0",0,"N",0,0
"ELK VALLEY PSD","WV0080900","100 BREAM DR","ELKVIEW","WV","110000877793","0",1,"N",0,0
"ELK-PINCH PUBLIC SERVIC DISTRI","WVL080900","100 BREAM DRIVE","ELKVIEW","WV","110000877793","0",1,"N",0,0
"ELKHART WWTP","IN0025674","1201 S NAPPANEE ST","ELKHART","IN","110000573237","1",0,"N",0,0
"ELKHART WWTP","INL025674","1201 S NAPPANEE ST","ELKHART","IN","110000573237","1",0,"N",0,0
"ELKHORN WWTF","NEL040096","19600 OLD LINCOLN HIGHWAY","ELKHORN","NE","110070000094","0",1,"N",0,0
"ELKINS CITY OF","WV0020028","5 RIVERBEND RD","ELKINS","WV","110011745059","5",1,"N",0,0
"ELKMONT RURAL VILLAGE WWTP","AL0056545","18458 RURAL VILLAGE BACK WAY","ELKMONT","AL","110010072697","0",0,"N",0,0
"ELKO WRF","NVL000055","1751 COLLEGE AVE","ELKO","NV","110069561824","1",0,"N",0,0
"ELKS CLUB NO 2170 SOUTH","OH0132519","3242 STATE RTE 127","CELINA","OH","110009646758","0",0,"N",0,0
"ELKTON STP","VAL026433","173 WEST SPOTSWOOD AVE","ELKTON","VA","110070001661","0",0,"N",0,0
"ELKTON WASTERWATER TREATMENT","MDL020681","200 W. PULASKI HIGHWAY","ELKTON","MD","110000732850","9",0,"N",0,0
"ELKTON WWSL","MI0057466","EWALD AND RICHARDSON ROAD","ELKTON","MI","110009026491","0",0,"N",0,0
"ELKTON WWTP","OH0122084","41833 STATE RTE 154","LISBON","OH","110008638000","2",0,"N",0,0
"ELLENSBURG WWTP","WAL024341","2415 CANYON RD","ELLENSBURG","WA","110010135736","4",0,"N",0,0
"ELLETTSVILLE MUNICIPAL WWTP","INL021083","MCNEELY RD & MATTHEWS RD","ELLETTSVILLE","IN","110039966720","0",0,"N",0,0
"ELLETTSVILLE MUNICIPAL WWTP","IN0021083","MCNEELY RD & MATTHEWS RD","ELLETTSVILLE","IN","110039966720","0",0,"N",0,0
"ELLICOTT SPRINGS WWTF","CO0047252","DRENNAN RD","EL PASO COUNTY","CO","110024382559","1",1,"N",0,0
"ELLICOTT SPRINGS WWTF","COL047252","DRENNAN RD","CALHAN","CO","110070000974",,0,"N",0,0
"ELLIJAY WPCP","GAL021369","64 MERK DAVIS STREET","ELLIJAY","GA","110006625937","1",0,"N",0,0
"ELLINGER SEWER & WSC WWTP","TX0066648","320 WEST TRAIN STATION","ELLINGER","TX","110013407116","0",0,"N",0,0
"ELLINGTON ESTATES","LAJ660300","FORTUNE LOOP & HWY 28E","PINEVILLE","LA","110054124452","0",0,"N",0,0
"ELLSWORTH CITY OF","MEL100889","333 WATER ST","ELLSWORTH","ME","110009025964","0",0,"N",0,0
"ELLWOOD BORO STP","PAL026832","1621 WOMPUM ROAD","ELLWOOD CITY","PA","110039804101","2",0,"N",0,0
"ELMA STP","WAL023132","PO BOX 3005","ELMA","WA","110009764629","3",0,"N",0,0
"ELMHURST STP, CITY OF","ILL028746","625 SOUTH ILLINOIS ROUTE 83","ELMHURST","IL","110039975970","0",1,"N",0,0
"ELMHURST STP, CITY OF","IL0028746","625 SOUTH ROUTE 83","ELMHURST","IL","110039975970","0",0,"N",0,0
"ELMORE WWTP","OH0021261","715 RICE ST","ELMORE","OH","110006285625","0",0,"N",0,0
"ELMWOOD WTP","NJL024031","N ELMWOOD ROAD","MARLTON","NJ","110070000006",,3,"N",0,0
"ELSIE WWSL","MI0056260","7485 NORTH PARK AVENUE","ELSIE","MI","110006739743","1",0,"N",0,0
"ELSINORE VALLEY REGIONAL FACILITY","CAL000027","P.O. BOX 3000","LAKE ELSINORE","CA","110059264772",,0,"N",0,0
"ELWOOD STP, VILLAGE OF","ILL074713","26550 BASELINE RD","ELWOOD","IL","110012675569","5",0,"N",0,0
